specObjID,bestobjid,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,elliptical,spiral,other,u,g,r,i,z,petroRadErr_r
384053117743818752,587725041711317180,323.3556,137.2829,180.7565,532.1229,0.740000009536743,0.119999997317791,0.140000000596046,19.73391,18.37632,17.58639,17.11525,16.8597,0.1635506
384053117743818752,587725041711317180,323.3556,137.2829,180.7565,532.1229,0.740000009536743,0.119999997317791,0.140000000596046,19.73391,18.37632,17.58639,17.11525,16.8597,0.1635506
384053117743818752,587725041711317180,323.3556,137.2829,180.7565,532.1229,0.740000009536743,0.119999997317791,0.140000000596046,19.73391,18.37632,17.58639,17.11525,16.8597,0.1635506
384053117743818752,587725041711317180,323.3556,137.2829,180.7565,532.1229,0.740000009536743,0.119999997317791,0.140000000596046,19.73391,18.37632,17.58639,17.11525,16.8597,0.1635506
389605651514419200,587722952770585097,8.967365,29.27854,43.75669,145.8532,0.402999997138977,0.56700000166893,0.0299999993294477,19.38017,17.93235,17.15299,16.75564,16.45246,0.2321801
389605651514419200,587722952770585097,8.967365,29.27854,43.75669,145.8532,0.402999997138977,0.56700000166893,0.0299999993294477,19.38017,17.93235,17.15299,16.75564,16.45246,0.2321801
394081213561726976,587725590381986006,586.4791,379.2978,403.0691,1410.935,0.517000019550323,0.103000000119209,0.379000000655651,18.94235,18.25704,17.92388,17.53665,17.4986,0.05285531
396456710077704192,587725590382117036,138.2631,177.5155,189.8675,661.1432,0.367000013589859,0.100000001490116,0.534000009298325,18.49496,17.56544,17.21957,16.89147,16.81481,0.1248127
396456710077704192,587725590382117036,138.2631,177.5155,189.8675,661.1432,0.367000013589859,0.100000001490116,0.534000009298325,18.49496,17.56544,17.21957,16.89147,16.81481,0.1248127
397443795198699520,587725491599179904,5.345814,34.88799,39.90596,129.4816,0.639999985694885,0.239999994635582,0.119999997317791,19.08453,17.83851,17.19924,16.83739,16.58776,0.1135473
397611195844028416,587725505557233924,170.476,209.2015,236.312,871.9615,0.428999990224838,0.25,0.32200001180172,19.35012,18.42719,18.05328,17.6338,17.57236,0.05523152
397611470721935360,587725505557233989,26.21323,84.01514,129.8777,373.0131,0.441000014543533,0.412000000476837,0.146999999880791,19.09648,17.92702,17.36952,17.00405,16.7826,0.1343996
405450165890082816,587725590385983750,34.61841,69.83717,105.1546,299.8638,0.695999979972839,0.208999997004867,0.0940000014379621,18.99671,17.88846,17.29098,16.91694,16.67138,0.06164565
407701419018184704,587725590385983750,17.42352,63.04805,99.06894,289.088,0.695999979972839,0.208999997004867,0.0940000014379621,18.99671,17.88846,17.29098,16.91694,16.67138,0.06164565
422261704114595840,587734303805210914,647.2803,222.6322,55.68142,745.8326,0.296000003814697,0.148000001907349,0.555000007152557,18.87668,18.19895,17.94867,17.8588,17.7371,0.04789323
422261704114595840,587734303805210914,647.2803,222.6322,55.68142,745.8326,0.296000003814697,0.148000001907349,0.555000007152557,18.87668,18.19895,17.94867,17.8588,17.7371,0.04789323
422261704114595840,587734303805210914,647.2803,222.6322,55.68142,745.8326,0.296000003814697,0.148000001907349,0.555000007152557,18.87668,18.19895,17.94867,17.8588,17.7371,0.04789323
424618507372619776,587731187805782213,14.39105,61.41483,82.4035,272.3554,0.449000000953674,0.488999992609024,0.0610000006854534,19.08326,17.73562,17.03072,16.63347,16.32647,0.2831851
425627034429974528,587734303807570087,163.9319,171.7992,191.7933,713.9099,0.671999990940094,0.186999998986721,0.141000002622604,19.35891,18.17736,17.64559,17.23574,17.11289,0.07467384
427894496345221120,587734304882884859,22.92977,96.9346,232.8061,541.8801,0.833000004291534,0.0829999968409538,0.084000002592802,20.32857,18.55844,17.66525,17.13501,16.80337,0.07285786
427894496345221120,587734304882884859,22.92977,96.9346,232.8061,541.8801,0.833000004291534,0.0829999968409538,0.084000002592802,20.32857,18.55844,17.66525,17.13501,16.80337,0.07285786
427894496345221120,587734304882884859,22.92977,96.9346,232.8061,541.8801,0.833000004291534,0.0829999968409538,0.084000002592802,20.32857,18.55844,17.66525,17.13501,16.80337,0.07285786
427984106542884864,587731186734465319,7.118423,43.28809,103.4816,284.3552,0.875,0.0710000023245811,0.0540000014007092,19.42168,17.88056,17.0143,16.53931,16.20025,0.161464
430124031451097088,587731185662558420,17.97526,89.49579,132.7497,385.1547,0.629999995231628,0.370000004768372,0,18.34085,17.02331,16.25021,15.82845,15.52816,0.1476984
431351361339156480,587731186736824562,22.93036,58.54559,83.08461,242.3368,0.644999980926514,0.290999993681908,0.0649999976158142,19.16107,17.89957,17.24969,16.86223,16.60591,0.1543069
437017968971376640,588015510344302646,544.0467,330.8322,180.5948,1060.646,0,0.0829999968409538,0.916999995708466,17.52106,16.97016,16.85734,16.64763,16.60725,0.678091
437017968971376640,588015510344302646,544.0467,330.8322,180.5948,1060.646,0,0.0829999968409538,0.916999995708466,17.52106,16.97016,16.85734,16.64763,16.60725,0.678091
439258775463946240,587731187817054247,198.608,134.1219,141.4424,491.038,0.0410000011324883,0.122000001370907,0.837000012397766,19.41306,19.22133,18.87156,18.47871,18.23881,0.03445332
439259323810473984,587731187817054247,215.8321,152.0863,154.1566,529.8879,0.0410000011324883,0.122000001370907,0.837000012397766,19.41306,19.22133,18.87156,18.47871,18.23881,0.03445332
441482261058054144,588015509273378878,1005.458,704.8079,787.3768,2785.506,0.150000005960464,0.200000006705523,0.650000005960464,18.16797,17.75859,17.57291,16.95819,17.36011,0.1797584
441482261058054144,588015509273378878,1005.458,704.8079,787.3768,2785.506,0.150000005960464,0.200000006705523,0.650000005960464,18.16797,17.75859,17.57291,16.95819,17.36011,0.1797584
443687333640824832,587731186208997544,74.9972,114.5189,122.3357,484.5121,0.53600001335144,0.392999991774559,0.0710000023245811,18.85905,17.82451,17.42615,17.08713,16.94996,0.186675
