specObjID,bestobjid,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,elliptical,spiral,other,u,g,r,i,z,petroRadErr_r
352542488596080640,587722983910015309,6.779451,36.29092,95.74171,194.763,0.129999995231628,0.869999974966049,0,19.38344,17.81983,16.93781,16.50394,16.16669,0.2675197
368321865262852096,587725040626303102,118.7427,22.46947,157.2752,111.3575,0.232999995350838,0.733000002801418,0.0329999998211861,19.36112,17.95867,17.20438,16.79738,16.50969,0.305516
370544249147516928,587724650866213071,285.1408,105.1447,448.2543,562.8845,0.153999999165535,0.307000003755093,0.539000011980534,18.81181,17.61751,16.81979,16.35829,16.14054,0.2123499
381809564300896256,587724649800990843,52.85601,49.06042,107.185,210.7929,0.64300000667572,0.179000005125999,0.179000005125999,18.97163,17.60349,16.85221,16.4531,16.1791,0.08072752
382857398865389568,587725040099786936,400.536,108.6146,463.2539,579.8513,0.625,0.186999995261431,0.187999993562698,19.43275,18.12323,17.43532,16.96556,16.82677,0.06642569
382857398865389568,587725040099786936,400.536,108.6146,463.2539,579.8513,0.625,0.186999995261431,0.187999993562698,19.43275,18.12323,17.43532,16.96556,16.82677,0.06642569
382860427538753536,587725040099786936,345.5226,87.42163,448.2412,526.1616,0.625,0.186999995261431,0.187999993562698,19.43275,18.12323,17.43532,16.96556,16.82677,0.06642569
382860427538753536,587725040099786936,345.5226,87.42163,448.2412,526.1616,0.625,0.186999995261431,0.187999993562698,19.43275,18.12323,17.43532,16.96556,16.82677,0.06642569
384041572871727104,587725040637444196,128.5308,42.93647,105.9428,204.9891,0.546999990940094,0.339999994263053,0.112999998033047,19.19095,18.07154,17.40595,17.02791,16.78114,0.08631271
384041572871727104,587725040637444196,128.5308,42.93647,105.9428,204.9891,0.546999990940094,0.339999994263053,0.112999998033047,19.19095,18.07154,17.40595,17.02791,16.78114,0.08631271
387317842694924288,587722982840861239,140.5606,56.11596,203.9618,254.2422,0.632000029087067,0.369000002741814,0,20.12071,18.48984,17.58811,17.08352,16.74565,0.1045584
388569636632815616,587722953306669460,54.35494,32.90415,100.2427,167.4891,0.629999995231628,0.333000004291534,0.0370000004768372,20.27899,18.60268,17.71402,17.20942,16.90579,0.3150465
388569636632815616,587722953306669460,54.35494,32.90415,100.2427,167.4891,0.629999995231628,0.333000004291534,0.0370000004768372,20.27899,18.60268,17.71402,17.20942,16.90579,0.3150465
394071592834983936,587725578033955058,14.35887,35.36644,93.36232,219.3854,0.100000001490116,0.100000001490116,0.799999982118607,19.94134,18.22846,17.26699,16.756,16.4522,0.5640108
398697514825443328,587725576424784091,220.0873,62.70331,189.004,276.5292,0.244000002741814,0.682000022381544,0.0729999989271164,19.7635,18.33016,17.52796,17.07042,16.77241,0.3645014
398697514825443328,587725576424784091,220.0873,62.70331,189.004,276.5292,0.244000002741814,0.682000022381544,0.0729999989271164,19.7635,18.33016,17.52796,17.07042,16.77241,0.3645014
424536593756350464,587731185657774301,21.73578,41.52858,128.4831,248.6025,0.061999998986721,0.12499999627471,0.812000006437302,18.95807,17.4463,16.67013,16.22627,15.9104,0.4463138
426861779998500864,587731187807355000,309.761,84.28819,227.7346,348.671,0.217999994754791,0.762999974191189,0.0179999992251396,19.32665,17.84782,17.11513,16.65286,16.3949,0.06963492
426861779998500864,587731187807355000,309.761,84.28819,227.7346,348.671,0.217999994754791,0.762999974191189,0.0179999992251396,19.32665,17.84782,17.11513,16.65286,16.3949,0.06963492
435743360083322880,588015509269708902,193.912,57.09664,147.4481,178.4129,0.470999985933304,0.396999999880791,0.131999999284744,18.97049,17.56129,16.74624,16.32669,16.0116,0.1428742
435743360083322880,588015509269708902,193.912,57.09664,147.4481,178.4129,0.470999985933304,0.396999999880791,0.131999999284744,18.97049,17.56129,16.74624,16.32669,16.0116,0.1428742
435743360083322880,588015509269708902,193.912,57.09664,147.4481,178.4129,0.470999985933304,0.396999999880791,0.131999999284744,18.97049,17.56129,16.74624,16.32669,16.0116,0.1428742
442561431737493504,587731185671340185,609.0751,116.7856,262.1961,479.4461,0.852999985218048,0.116999998688698,0.028999999165535,18.57196,17.36381,16.60246,16.17096,15.90104,0.05025993
442609260493301760,588015509274099894,19.1467,38.8306,181.9484,275.0667,0.00300000002607703,0.976999971084297,0.0209999992512167,18.78928,17.23437,16.37062,15.92972,15.55598,0.2324518
443678811804952576,588015508737949796,69.73618,42.10778,155.0299,202.9391,0.647000014781952,0.221000000834465,0.132999997586012,18.38846,17.12362,16.36793,15.95758,15.69658,0.06363735
443678812425709568,588015508737949796,72.92077,42.53761,151.847,187.3608,0.647000014781952,0.221000000834465,0.132999997586012,18.38846,17.12362,16.36793,15.95758,15.69658,0.06363735
443680185120745472,588015508737949796,71.83102,43.8621,142.5338,191.5388,0.647000014781952,0.221000000834465,0.132999997586012,18.38846,17.12362,16.36793,15.95758,15.69658,0.06363735
443720868124715008,587731186746392612,27.81904,72.9738,343.2897,556.7549,0.0649999976158142,0.0500000002793968,0.886000029742718,19.17412,17.57399,16.76421,16.2347,15.9093,3.521601
443720868124715008,587731186746392612,27.81904,72.9738,343.2897,556.7549,0.0649999976158142,0.0500000002793968,0.886000029742718,19.17412,17.57399,16.76421,16.2347,15.9093,3.521601
443721418501285888,587731186746392612,31.51502,71.93188,341.1686,574.6674,0.0649999976158142,0.0500000002793968,0.886000029742718,19.17412,17.57399,16.76421,16.2347,15.9093,3.521601
443721418501285888,587731186746392612,31.51502,71.93188,341.1686,574.6674,0.0649999976158142,0.0500000002793968,0.886000029742718,19.17412,17.57399,16.76421,16.2347,15.9093,3.521601
443723340952135680,587731186746392612,24.17057,69.25678,322.61,533.074,0.0649999976158142,0.0500000002793968,0.886000029742718,19.17412,17.57399,16.76421,16.2347,15.9093,3.521601
443723340952135680,587731186746392612,24.17057,69.25678,322.61,533.074,0.0649999976158142,0.0500000002793968,0.886000029742718,19.17412,17.57399,16.76421,16.2347,15.9093,3.521601
446018296664320000,588015509813526599,37.81362,59.09225,211.8509,305.5415,0.370000004768372,0.0740000009536743,0.555000007152557,18.92201,17.6443,17.07145,16.41426,15.76474,3.092547
447040567231145984,588015507666436187,46.62154,43.39933,113.2081,218.5724,0.435999989509583,0.508999988436699,0.0549999997019768,19.73532,18.17901,17.28391,16.80699,16.51852,0.2489113
453828128679159808,588015510355771596,263.4163,58.41431,236.4902,244.5674,0.653999984264374,0.307000003755093,0.0379999987781048,19.41883,17.93949,17.17068,16.737,16.46831,0.05222363
455020548049627136,587731513685246095,12.89472,56.03244,204.4334,317.2012,0.537999987602234,0.422999985516071,0.0379999987781048,19.64626,18.06739,17.17596,16.62878,16.30672,0.3601683
455020549140146176,587731513685246095,17.63289,56.86369,208.8501,326.4907,0.537999987602234,0.422999985516071,0.0379999987781048,19.64626,18.06739,17.17596,16.62878,16.30672,0.3601683
462775954339555328,587731512617926834,172.579,29.4198,119.5559,123.261,0.644999980926514,0.257999995723367,0.0970000028610229,20.12818,18.5751,17.68511,17.24769,16.95345,0.3557427
