specObjID,objid,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,elliptical,spiral,other,u,g,r,i,z,petroRadErr_r,redshift
333439578792814592,588848900458807491,4.455262,4.758528,7.116421,4.6414,0.879999995231628,0,0.119999997317791,19.25559,17.17546,16.16213,15.71,15.32824,0.1715918,0.1082094
333439853670721536,587722983896842287,16.4741,13.38814,117.497,107.5986,0.156000003218651,0.133000001311302,0.711999997496605,20.35882,18.6634,17.52688,17.11401,16.84177,0.2869817,0.110833
333440403426535424,588848900458807526,15.33558,6.596058,51.32435,28.7044,0.24099999666214,0.723000012338161,0.034000001847744,19.15784,17.32898,16.36804,15.96395,15.59886,0.4486846,0.110289
333440672952510464,588848900458807336,23.599,11.40607,18.38794,56.50542,0.908999979496002,0,0.0900000035762787,19.39368,17.35499,16.34221,15.85475,15.46885,0.2315804,0.1089695
333440678304442368,588848900458807453,8.297829,16.74848,49.51811,89.68247,0.207000002264977,0.586000010371208,0.206000007688999,19.3894,17.94793,17.18254,16.78066,16.48187,0.19646,0.1111061
333441228060256256,587722983896842436,7.806003,6.315073,24.64367,20.22065,0.865000009536743,0.135000005364418,0,19.88684,17.95444,16.95099,16.54496,16.23313,0.267202,0.1062999
333442047342045184,588848900458807526,12.55363,8.140652,38.07942,27.38837,0.24099999666214,0.723000012338161,0.034000001847744,19.15784,17.32898,16.36804,15.96395,15.59886,0.4486846,0.110232
334403570226980864,588848898848587897,18.23681,9.493154,18.04809,25.74183,0.42399999499321,0.575999986380339,0,19.32582,17.27499,16.25567,15.81194,15.43135,0.8732976,0.1076187
334406323972106240,588848898848587897,14.72499,9.507131,22.28469,22.66827,0.42399999499321,0.575999986380339,0,19.32582,17.27499,16.25567,15.81194,15.43135,0.8732976,0.107591
334410167296747520,588848899385721032,9.192931,2.469376,25.71521,27.03098,0.421000003814697,0.474000010639429,0.104999996721745,19.55053,17.83038,16.96183,16.52859,16.20218,0.1829886,0.110636
334410172262803456,587722982823690453,8.896972,8.627027,13.25538,12.04563,0.893999993801117,0.0669999998062849,0.0390000005718321,19.64749,17.64375,16.61421,16.14056,15.74481,0.1321235,0.1109076
334410991930468352,587722982823690453,1.533254,0.1097522,-0.8271056,0.9423389,0.893999993801117,0.0669999998062849,0.0390000005718321,19.64749,17.64375,16.61421,16.14056,15.74481,0.1321235,0.1108731
334412096408152064,588848899385721032,8.201607,10.92192,20.71976,33.58185,0.421000003814697,0.474000010639429,0.104999996721745,19.55053,17.83038,16.96183,16.52859,16.20218,0.1829886,0.1106865
334420067867453440,588848899385589916,5.747061,2.0109,15.81024,16.30355,0.698000013828278,0.150999996811152,0.150999993085861,20.14368,18.32784,17.39947,17.00998,16.68256,0.03596121,0.1100985
334420337779304448,588848899385589916,9.942901,-10.54452,11.83288,34.53633,0.698000013828278,0.150999996811152,0.150999993085861,20.14368,18.32784,17.39947,17.00998,16.68256,0.03596121,0.1101101
334420612657211392,587722983360430306,4.45288,2.633627,26.81849,10.60064,0.565999984741211,0.346999989822507,0.0870000021532178,20.54229,18.638,17.70158,17.29384,16.97434,0.1541927,0.1108878
334421717134895104,587722983360430306,6.712963,2.919079,4.89355,7.90002,0.565999984741211,0.346999989822507,0.0870000021532178,20.54229,18.638,17.70158,17.29384,16.97434,0.1541927,0.1109925
334422266890708992,588848899922395311,50.96532,12.10446,47.07521,43.53437,0.578999996185303,0.421000007539988,0,19.48219,17.91297,17.07923,16.73347,16.39676,0.07338577,0.1008041
334422811680466944,588848899922395311,35.88251,18.53068,64.70202,66.99084,0.578999996185303,0.421000007539988,0,19.48219,17.91297,17.07923,16.73347,16.39676,0.07338577,0.1008261
334426385093257216,588848898848325795,34.84999,13.4135,52.57319,102.2856,0.0320000015199184,0.70899997651577,0.257999986410141,18.8746,17.25668,16.39253,15.86919,15.5193,1.587051,0.1062815
334426664937220096,588848898848325795,40.5837,11.82875,46.80177,96.27843,0.0320000015199184,0.70899997651577,0.257999986410141,18.8746,17.25668,16.39253,15.86919,15.5193,1.587051,0.1062353
334432157529303040,588848899922264270,14.99195,74.19167,150.9449,366.2202,0.467999994754791,0.482999999076128,0.0480000004172325,18.70004,17.31618,16.57568,16.13445,15.87506,0.2761112,0.1106531
334434361518614528,588848899922264270,22.17478,57.41258,121.6734,273.4084,0.467999994754791,0.482999999076128,0.0480000004172325,18.70004,17.31618,16.57568,16.13445,15.87506,0.2761112,0.1106418
334436835419777024,587722982823362799,0.8984188,-1.277703,-1.303066,-0.2513944,0.550000011920929,0.383000005036592,0.0670000016689301,20.18793,18.35647,17.38343,16.98497,16.67542,0.1670733,0.1103667
334441778256046080,587722982823362799,13.27826,0.5233903,7.276786,4.876192,0.550000011920929,0.383000005036592,0.0670000016689301,20.18793,18.35647,17.38343,16.98497,16.67542,0.1670733,0.1103512
334447550692091904,588848898848194747,37.71727,0.9002692,127.629,84.43262,0.547999978065491,0.355000000447035,0.0969999991357327,18.62223,16.92857,16.082,15.67092,15.3329,0.1611702,0.1067162
334448100447905792,587722981749358673,4.171133,4.28808,10.85777,-0.7562897,0.889999985694885,0.0359999998472631,0.0749999992549419,19.60723,17.56247,16.52196,16.08775,15.72697,0.1077884,0.1063628
334449204925589504,587722981749358673,10.10899,18.2793,-0.5100856,17.80364,0.889999985694885,0.0359999998472631,0.0749999992549419,19.60723,17.56247,16.52196,16.08775,15.72697,0.1077884,0.1063064
334450029559310336,587722981749358771,4.94489,-0.9437369,4.194568,10.20269,0.805999994277954,0.0599999986588955,0.13400000333786,20.7213,18.77127,17.79598,17.39332,17.04867,0.1014796,0.1028048
334451129070938112,587722982286295242,83.6879,126.7283,247.4154,519.968,0.685999989509583,0.0770000005140901,0.237000003457069,19.26082,18.14343,17.52791,17.11817,16.90344,0.02529168,0.1065623
334452773372323840,587722982286295242,83.61196,117.4101,251.5728,519.3192,0.685999989509583,0.0770000005140901,0.237000003457069,19.26082,18.14343,17.52791,17.11817,16.90344,0.02529168,0.1065729
334452778338379776,588848898848194747,42.37129,13.78033,155.6324,96.93713,0.547999978065491,0.355000000447035,0.0969999991357327,18.62223,16.92857,16.082,15.67092,15.3329,0.1611702,0.1067151
334456626629076992,587722983359905955,1.849684,0.3346357,2.972934,-11.87458,0.845000028610229,0.080000001937151,0.0749999969266355,20.03167,18.09827,17.17788,16.78956,16.46167,0.1104824,0.1082944
334457171418834944,587722983359905955,0.4502395,2.130093,-0.7440745,5.65711,0.845000028610229,0.080000001937151,0.0749999969266355,20.03167,18.09827,17.17788,16.78956,16.46167,0.1104824,0.1082651
334457721174648832,588848899385131128,5.456831,7.702527,11.19648,24.67714,0.115000002086163,0.885000020265579,0,19.95416,18.15883,17.04322,16.50993,16.01681,1.618816,0.1077533
334458001018611712,588848899385131128,5.075002,3.250847,14.09687,22.6806,0.115000002086163,0.885000020265579,0,19.95416,18.15883,17.04322,16.50993,16.01681,1.618816,0.1077331
334458550774425600,587729779049037949,15.88388,65.85462,104.0697,267.6208,0.586000025272369,0.24099999666214,0.172000005841255,19.42704,18.30463,17.72956,17.34979,17.17024,0.09854978,0.10514
334459095564183552,587722981749358771,3.055724,-0.4625551,2.679736,4.698615,0.805999994277954,0.0599999986588955,0.13400000333786,20.7213,18.77127,17.79598,17.39332,17.04867,0.1014796,0.1028446
334461569465346048,587729779049037949,12.32866,61.36137,101.3414,266.9754,0.586000025272369,0.24099999666214,0.172000005841255,19.42704,18.30463,17.72956,17.34979,17.17024,0.09854978,0.1051905
334464043366508544,587722983359774882,15.35313,5.998113,12.40755,14.5034,0.316000014543533,0.0529999993741512,0.632000014185905,20.25808,18.325,17.35548,16.96108,16.66905,0.1892472,0.1113448
334464318244415488,587722983359774887,23.31923,60.45076,208.1809,309.5469,0.444000005722046,0,0.555000007152557,19.44658,18.19008,17.44514,17.03381,16.82574,0.1005006,0.1112254
334465147844192256,587722983359709400,2.05666,3.338207,16.36631,15.11282,0.148000001907349,0.833000004291534,0.0189999993890524,20.10513,18.3542,17.34189,16.90638,16.56121,0.722604,0.1120526
