specObjID,bestobjid,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,elliptical,spiral,other
2742861840752076800,587744727150690537,68.14971,104.3364,124.6709,379.4623,0.34400001168251,0.532000005245209,0.12499999627471
397611470721935360,587725505557233989,26.21323,84.01514,129.8777,373.0131,0.441000014543533,0.412000000476837,0.146999999880791
612663858842068992,587727865645760598,602.5795,388.2874,372.9802,1428.69,0.559000015258789,0.131999999284744,0.308999999426305
612663858842068992,587727865645760598,602.5795,388.2874,372.9802,1428.69,0.559000015258789,0.131999999284744,0.308999999426305
856857421002336256,587728931876241418,423.3412,296.4938,321.3366,1297.804,0.160999998450279,0.644999980926514,0.194000005722046
856857421002336256,587728931876241418,423.3412,296.4938,321.3366,1297.804,0.160999998450279,0.644999980926514,0.194000005722046
865956742339520512,587729387680891039,90.36739,165.2496,174.8303,639.869,0.71399998664856,0.0480000004172325,0.238000005483627
865956742339520512,587729387680891039,90.36739,165.2496,174.8303,639.869,0.71399998664856,0.0480000004172325,0.238000005483627
1121419441268090880,587732701251829887,70.09563,106.4219,116.6459,422.3839,0.400000005960464,0.44499999191612,0.154000002890825
1937772485554497536,587736477596319883,45.81646,112.9544,172.1063,408.3348,0.0410000011324883,0.95699998550117,0.0020000000949949
2411849194869385216,587739631705456690,350.8535,484.3297,545.3111,1865.608,0.519999980926514,0.239999994635582,0.239999994635582
2419693115871881216,587739721913270419,29.20844,96.24754,157.2393,421.1909,0.456999987363815,0.372000016272068,0.171000003814697
2428631316292462592,587739380455047185,381.2226,252.863,191.4544,937.0778,0.30799999833107,0.499999992549419,0.19200000166893
2428631316292462592,587739380455047185,381.2226,252.863,191.4544,937.0778,0.30799999833107,0.499999992549419,0.19200000166893
2665029331884992512,587741815712186557,15.28056,33.48309,110.2683,245.8362,0.233999997377396,0.743999989703298,0.0209999997168779
328810353670514688,587722982819233998,53.44561,106.7251,113.4074,403.3443,0.381000012159348,0.524000000208616,0.0949999988079071
1517748860292720640,588017625628541012,17.44101,70.82829,169.8668,457.3084,0.75,0.19199999794364,0.0579999983310699
1517748860292720640,588017625628541012,17.44101,70.82829,169.8668,457.3084,0.75,0.19199999794364,0.0579999983310699
1517748860292720640,588017625628541012,17.44101,70.82829,169.8668,457.3084,0.75,0.19199999794364,0.0579999983310699
1813994402389977088,588017704541945958,167.3996,160.3132,216.1378,664.2028,0.611999988555908,0.223999995738268,0.163000002503395
2042513624194377728,588017991771488466,182.8631,49.15133,95.71429,186.6647,0.666999995708466,0.242999993264675,0.090999998152256
2042513624194377728,588017991771488466,182.8631,49.15133,95.71429,186.6647,0.666999995708466,0.242999993264675,0.090999998152256
