dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587725818024886354,1237651539249791043,7.86626418602387E-05,188.81896193,67.83381409,2.378452,5.291725
587725993572565111,1237651714797469952,4.86109878922534E-05,247.07114003,48.31708309,1.223614,3.324682
587725993572565111,1237651714797469952,4.86109878922534E-05,247.07114003,48.31708309,1.223614,3.324682
587726013996793920,1237651735221698565,1.41999712526351E-06,183.60203327,1.62007432,2.752767,6.465585
587726014002626699,1237651735227531441,7.2760684259712E-06,196.94870896,1.60272162,1.921359,4.458037
587726014010556630,1237651735235461336,3.42999360289564E-06,215.13446308,1.30643332,2.191196,5.540843
587726014010556630,1237651735235461336,3.42999360289564E-06,215.13446308,1.30643332,2.191196,5.540843
587726014013178091,1237651735238082876,2.98245890406905E-06,221.16846124,1.03609088,2.542882,6.360714
587726015085543504,1237651736310448369,3.82965095633179E-06,218.02327855,2.02514803,1.416875,3.957165
587726015085543504,1237651736310448369,3.82965095633179E-06,218.02327855,2.02514803,1.416875,3.957165
587726016152469684,1237651737377374398,3.28938426983996E-06,202.39245294,3.17621771,1.735022,4.036668
587726016685539439,1237651737910444153,2.22495381298424E-06,193.68653425,3.68910555,2.049263,4.296683
587726016692879571,1237651737917784248,1.49842669803713E-05,210.54648397,3.3221494,3.102568,7.465196
587726031730245836,1237651752955150521,7.38691613143817E-06,222.35742972,1.25584185,1.490884,3.501264
587726032795926598,1237651754020831297,3.53187828060275E-06,204.01570511,2.46914348,2.029921,5.598536
587726032795926598,1237651754020831297,3.53187828060275E-06,204.01570511,2.46914348,2.029921,5.598536
587726033308811396,1237651754533716074,5.35741826225185E-06,149.11979566,2.46328867,2.321596,5.248776
587726033330176179,1237651754555080888,7.13877827242312E-06,198.0870172,2.9350809,2.619004,5.552628
587726033875108006,1237651755100012695,1.322822939215E-05,216.49344107,3.02377966,2.270603,4.668696
587726100416430301,1237651821641335010,3.51513094795929E-06,228.93930488,2.79587451,3.204337,6.521799
587726877263200890,1237652598488105227,1.10604099950892E-05,313.60548205,-7.1537792,1.791821,3.762902
587726878877679888,1237652600102584566,2.28885600674577E-05,322.47784829,-7.12583578,2.476383,5.110595
587726879409570601,1237652600634475380,1.0155243417492E-05,311.27923444,-5.22015757,1.380387,3.175072
587727177913729160,1237652899138633853,1.94997693560971E-07,2.64177367,-11.19831375,1.210909,2.923133
587727177922117761,1237652899147022453,7.51895030276968E-06,22.1976382,-10.69088521,2.755663,6.436734
587727178989437048,1237652900214341765,1.37773515744923E-06,7.24590149,-10.37370113,1.309097,2.87218
587727179000709233,1237652900225613945,1.25281829058464E-06,33.26762814,-9.15466838,1.670187,4.683032
587727179000709233,1237652900225613945,1.25281829058464E-06,33.26762814,-9.15466838,1.670187,4.683032
587727179536007220,1237652900760911916,1.10754456663564E-06,29.58213421,-8.95991472,2.195607,5.24003
587727179538694354,1237652900763599071,1.16940816595052E-06,35.86763991,-8.58010021,1.753409,4.027668
587727179538694354,1237652900763599071,1.16940816595052E-06,35.86763991,-8.58010021,1.753409,4.027668
587727180068421650,1237652901293326350,3.38992570675229E-06,19.29996856,-9.23560809,2.165041,5.231094
587727221939699992,1237652943164604645,5.45980905005467E-06,334.80565534,12.97634488,1.418158,3.949331
