dr7objid,dr8objid,distance
587727944027078928,1237653665251983604,1.6229493742883E-05
587728308030013586,1237654029254918268,3.580381073777E-06
587728308568588469,1237654029793493177,3.84874255249799E-06
587728309642526864,1237654030867431564,7.88909039322016E-06
587728664506073210,1237654385730977912,6.19666847429669E-06
587728664506073210,1237654385730977912,6.19666847429669E-06
587728664506073210,1237654385730977912,6.19666847429669E-06
587728664506073210,1237654385730977912,6.19666847429669E-06
587728665579749471,1237654386804654178,0.000105736395079836
587728677394579646,1237654398619484382,5.45737355805959E-05
587728879272329343,1237654600497234026,5.42172361670959E-06
587728879272329343,1237654600497234026,5.42172361670959E-06
587728879793537370,1237654601018442078,1.96679991622384E-06
587728879802712201,1237654601027616876,2.84253298421563E-06
587728879802712201,1237654601027616876,2.84253298421563E-06
587728879802712201,1237654601027616876,2.84253298421563E-06
587728879802712201,1237654601027616876,2.84253298421563E-06
587728879802712201,1237654601027616876,2.84253298421563E-06
587728879802712201,1237654601027616876,2.84253298421563E-06
587728879807758477,1237654601032663148,3.56293438194537E-06
587728918982164621,1237654640207069310,3.6887392206854E-05
587728919520739510,1237654640745644213,4.66264079575315E-05
587728919520739510,1237654640745644213,4.66264079575315E-05
587728919520739510,1237654640745644213,4.66264079575315E-05
587728920058658827,1237654641283563531,6.24323292049163E-05
587728930269036669,1237654651493941358,6.19513813177778E-06
587728930269036669,1237654651493941358,6.19513813177778E-06
587728930269036669,1237654651493941358,6.19513813177778E-06
587728930269036669,1237654651493941358,6.19513813177778E-06
587728931875586144,1237654653100490983,9.70502108294482E-06
587728931876241418,1237654653101146281,4.06322697687707E-06
587728931876241418,1237654653101146281,4.06322697687707E-06
587728948513669243,1237654669738573951,9.7207969128081E-07
587729155745644681,1237654876970549389,5.925215372855E-05
587729156280418412,1237654877505323131,8.79691095165121E-05
587729160042840112,1237654881267744802,8.29485951728168E-06
587729160055619777,1237654881280524482,6.8532413284324E-06
587729160055619777,1237654881280524482,6.8532413284324E-06
587729231445033334,1237654952669938054,6.20886012728645E-06
587729231981969530,1237654953206874205,2.10239343692317E-06
587729231981969530,1237654953206874205,2.10239343692317E-06
587729231981969530,1237654953206874205,2.10239343692317E-06
