dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587726033308942567,1237651754533847262,5.92254632075313E-06,149.4977379,2.4695918,1.628321,4.18377
587726033338958013,1237651754563862680,4.20974133322902E-06,218.06059176,2.54125793,2.9075,7.453775
587726033338958013,1237651754563862680,4.20974133322902E-06,218.06059176,2.54125793,2.9075,7.453775
587726100956315920,1237651822181220606,4.55372565985318E-06,235.90614436,2.86627666,1.440576,3.715219
587726100956315920,1237651822181220606,4.55372565985318E-06,235.90614436,2.86627666,1.440576,3.715219
587726102031827204,1237651823256731908,4.11614348369107E-06,239.92971512,3.41140019,1.450146,2.938919
587726102557884591,1237651823782789277,3.61011293856304E-06,215.25832343,5.21732506,1.43901,3.627283
587726878877024509,1237652600101929375,5.38400760097751E-06,321.04594785,-6.99494222,1.670317,3.874351
587727177924673625,1237652899149578416,5.02200939325738E-06,28.03375708,-10.43142891,2.216297,5.126023
587727178451583052,1237652899676487754,2.7147754119164E-06,4.90309386,-10.79400817,2.506267,5.425312
587727180062523456,1237652901287428147,7.62299380589068E-06,5.59821534,-9.42178883,2.038123,5.192966
587727180062523456,1237652901287428147,7.62299380589068E-06,5.59821534,-9.42178883,2.038123,5.192966
587727212274909487,1237652933499814203,2.41779887479233E-06,325.34655224,-8.91168018,1.144187,3.521709
587727220876968102,1237652942101872831,8.57219538144008E-06,0.7714517,13.92634657,1.795312,5.056115
587727220876968102,1237652942101872831,8.57219538144008E-06,0.7714517,13.92634657,1.795312,5.056115
587727221951168675,1237652943176073434,2.61589055638781E-06,1.78811736,14.7695008,2.82207,7.160462
587727223014883704,1237652944239788383,4.35770899478466E-06,338.1645661,14.12799778,2.182739,5.40921
587727226236436575,1237652947461341254,1.34000788304181E-06,21.81323887,-9.77741679,1.310489,3.575678
587727226236436575,1237652947461341254,1.34000788304181E-06,21.81323887,-9.77741679,1.310489,3.575678
587727226236436575,1237652947461341254,1.34000788304181E-06,21.81323887,-9.77741679,1.310489,3.575678
587727229985423530,1237652951210328247,4.33458867138488E-06,25.05683087,-9.96309426,2.275671,6.754304
587727229985423530,1237652951210328247,4.33458867138488E-06,25.05683087,-9.96309426,2.275671,6.754304
587727865649627291,1237653586874532005,1.03173662539704E-05,129.13187106,46.03584465,1.700826,4.752926
587727865649627291,1237653586874532005,1.03173662539704E-05,129.13187106,46.03584465,1.700826,4.752926
